id,context,question,option_a,option_b,option_c,option_d,correct_answer
810,Template-urile permit scrierea de cod generic reutilizabil și sigur din punct de vedere al tipurilor.,Care este avantajul principal al utilizării template-urilor în C++?,Îmbunătățirea performanței prin moștenire multiplă,Reducerea dimensiunii codului,Eliminarea nevoii de clase derivate,Creșterea siguranței tipurilor și a reutilizării codului,D
811,Excepțiile oferă un mecanism elegant pentru tratarea erorilor apărute în timpul execuției programului.,Care este scopul principal al tratării excepțiilor în C++?,Detectarea erorilor de compilare,Reducerea dimensiunii programului,Gestionarea controlată a erorilor de execuție,Optimizarea timpului de execuție,C
812,Instrucțiunea throw este folosită pentru a genera o excepție și un obiect asociat acesteia.,Ce efect are instrucțiunea throw?,Resetează valorile variabilelor globale,Întrerupe execuția funcției curente și transferă controlul către un bloc catch corespunzător,Ignoră excepțiile necunoscute,Oprește complet execuția programului,B
813,Blocul try marchează o secțiune de cod în care pot apărea excepții.,Ce rol are blocul try?,Definirea unei funcții pentru tratarea erorilor,Declararea claselor de excepții,Delimitarea secțiunii de cod unde pot apărea excepții,Inițializarea obiectelor,C
814,Blocurile catch sunt folosite pentru a recepționa și trata excepțiile generate într-un bloc try.,Cum funcționează blocurile catch?,Preiau controlul asupra funcțiilor globale,Inițializează obiecte statice,Recepționează excepțiile aruncate și definesc acțiunile de tratare,Determină ordinea execuției funcțiilor,C
815,Clauza catch (...) tratează toate excepțiile care nu au un handler specific.,Ce face clauza catch(...)?,Ignoră toate excepțiile,Resetează handlerul curent,Oprește execuția programului,Tratează orice excepție de tip necunoscut,D
816,O funcție poate declara explicit tipurile de excepții pe care le poate genera folosind specificatorul throw.,Cum se declară excepțiile generate de o funcție?,Prin cuvântul cheie except,Prin includerea în blocul try,Prin definiția unei clase template,Prin specificatorul throw(listă_tipuri) după antetul funcției,D
817,Instrucțiunea throw fără expresie retransmite excepția curentă către un context superior.,Ce efect are instrucțiunea throw fără argument?,Ignoră excepția,Reapelează constructorul excepției,Elimină excepția din memorie,Retransmite excepția curentă către blocul try exterior,D
818,Funcțiile set_terminate și set_unexpected pot fi folosite pentru a defini comportamentul programului în caz de excepții netratate.,Ce permit funcțiile set_terminate și set_unexpected?,Redefinirea funcției main,Optimizarea operatorilor virtuali,Generarea excepțiilor în lanț,Definirea comportamentului programului când o excepție nu este tratată,D
819,O excepție netratată determină apelul implicit al funcției terminate().,Ce se întâmplă dacă o excepție nu este prinsă de niciun bloc catch?,Compilatorul o tratează automat,Excepția este ignorată,Programul continuă normal,Este apelată funcția terminate(),D
820,Excepțiile netratate pot fi interceptate de o funcție definită de utilizator folosind set_terminate.,Cum se poate înlocui comportamentul implicit al funcției terminate()?,Prin utilizarea unei funcții virtuale,Prin definirea unei funcții proprii și apelul set_terminate(funcția),Prin suprascrierea funcției main,Prin declararea unei variabile globale terminate,B
821,"La generarea unei excepții, compilatorul distruge automat toate obiectele complet create în blocul curent.",Ce se întâmplă cu obiectele dintr-un bloc când se aruncă o excepție?,Sunt convertite în pointeri,Sunt copiate în handlerul catch,Sunt păstrate în memorie,Sunt distruse automat în ordine inversă creării,D
822,"Pentru a evita copierea inutilă a obiectelor la tratarea excepțiilor, se recomandă transmiterea prin referință.",Cum se evită copierea obiectului excepției în blocul catch?,"Prin declararea parametrului catch ca referință, ex: catch(A& obj)",Prin apelul destructorului manual,Prin folosirea operatorului static_cast,Prin utilizarea pointerilor globali,A
823,O ierarhie de clase de excepții permite tratarea organizată a mai multor tipuri de erori.,Ce avantaj oferă ierarhiile de clase de excepții?,Permit tratarea comună a mai multor tipuri de excepții înrudite,Creează clase virtuale implicite,Permit moștenirea multiplă a handlerelor,Elimină complet nevoia de handleri,A
824,Ordinea handlerelor într-o secvență catch trebuie să fie de la clasele derivate la cele de bază.,De ce este importantă ordinea handlerelor în blocurile catch?,Pentru a reduce timpul de compilare,Pentru a permite apeluri recursive,Pentru a evita ascunderea handlerelor pentru clase derivate,Pentru a preveni erorile de runtime,C
825,Clasa standard exception este baza ierarhiei pentru toate excepțiile predefinite în C++.,Care este clasa de bază a ierarhiei de excepții din biblioteca standard C++?,runtime_error,error_base,exception,logic_error,C
826,Metoda virtuală what() din clasa exception returnează un mesaj descriptiv al erorii.,Ce face metoda what() a clasei exception?,Transformă excepția într-un pointer,Eliberează memoria excepției,Returnează un șir de caractere cu descrierea erorii,Afișează tipul excepției,C
827,Clasa logic_error este folosită pentru erori detectabile înainte de execuția programului.,Pentru ce sunt folosite excepțiile de tip logic_error?,Pentru erori de execuție,Pentru erori logice detectabile la compilare sau inițializare,Pentru depășirea limitelor memoriei,Pentru alocări dinamice eșuate,B
828,"Clasele derivate din logic_error includ domain_error, invalid_argument, length_error și out_of_range.",Ce tip de erori acoperă clasele derivate din logic_error?,"Erori de domeniu, argument invalid, lungime și index în afara limitelor",Erori hardware,Erori de execuție ale sistemului de operare,Erori de compilare,A
829,Excepțiile de tip runtime_error raportează erori apărute în timpul execuției programului.,Ce tip de probleme semnalează excepțiile de tip runtime_error?,Erori logice de compilare,Erori în timpul linking-ului,Erori de aliniere a memoriei,"Erori de execuție precum overflow, bad_alloc, range_error",D
830,Excepția bad_alloc este aruncată când operatorul new nu poate aloca memoria solicitată.,Ce cauzează generarea excepției bad_alloc?,Utilizarea unui pointer neinițializat,Eroare la conversia tipurilor,Apelarea destructorului unei clase abstracte,Eșecul operației de alocare a memoriei,D
831,Supraîncărcarea operatorilor new și delete permite controlul personalizat al alocării și eliberării memoriei.,Ce avantaje oferă supraîncărcarea operatorilor new și delete?,Împiedică alocările dinamice,Crește viteza de compilare,Reduce dimensiunea programului,Permite optimizarea alocării memoriei și tratarea erorilor de alocare,D
832,Funcția set_new_handler setează o funcție care va fi apelată când operatorul new eșuează.,Ce face funcția set_new_handler?,Setează o funcție care gestionează eșecul alocării de memorie,Optimizează operatorii aritmetici,Resetează pointerii globali,Distruge obiectele temporare,A
833,Funcția set_new_handler primește ca parametru un pointer la o funcție fără argumente.,Ce tip de parametru primește funcția set_new_handler?,Pointer la funcția terminate,Pointer la un obiect de tip handler,Pointer la o funcție de forma void(),Referință la un obiect exception,C
834,Operatorii globali new și delete pot fi redefiniți pentru a implementa metode personalizate de alocare.,Ce permite redefinirea operatorilor globali new și delete?,Schimbarea metodei standard de alocare și dealocare a memoriei,Crearea automată a obiectelor statice,Apelarea implicită a destructorilor,Modificarea tipului de retur al funcțiilor,A
835,Operatorii new și delete pot fi supraîncărcați și la nivelul claselor definite de utilizator.,Unde pot fi definiți operatorii new și delete personalizați?,Doar în namespace-ul std,Numai în funcția main,În interiorul unei clase definite de utilizator,Doar global,C
836,Operatorii new[] și delete[] trebuie supraîncărcați separat de operatorii new și delete.,De ce operatorii new[] și delete[] necesită versiuni proprii?,Pentru a optimiza operatorii aritmetici,Pentru a trata corect alocarea și eliberarea tablourilor de obiecte,Pentru a permite apeluri implicite ale destructorilor,Pentru a evita recursivitatea,B
837,Operatorul delete[] primește ca parametru un pointer la blocul de memorie alocat anterior prin new[].,Ce parametru primește operatorul delete[]?,Dimensiunea tabloului,Un obiect de tip exception,Un handler de tip bad_alloc,Pointer la blocul de memorie alocat prin new[],D
838,Versiunile moderne ale C++ utilizează excepții pentru a trata eșecul operatorului new.,Cum este tratat eșecul operatorului new în versiunile moderne ale C++?,Prin returnarea valorii NULL,Prin oprirea automată a programului,Prin aruncarea unei excepții de tip bad_alloc,Prin apelarea funcției terminate,C
839,"Handlerul de alocare poate elibera memorie și afisa un mesaj de eroare, fiind apelat de set_new_handler.",Care este rolul unui handler de alocare definit de utilizator?,Optimizează destructorii,Creează automat un nou obiect,Înlocuiește operatorii logici,Eliberează memorie și gestionează erorile de alocare,D
840,Supraîncărcarea operatorilor new și delete în clase permite controlul complet al alocării memoriei pentru obiectele respective.,Ce oferă supraîncărcarea operatorilor new și delete la nivel de clasă?,Eliminarea destructorilor,Instanțierea multiplă a obiectelor,Conversii implicite între clase,Controlul complet asupra modului în care este alocată și eliberată memoria pentru obiectele acelei clase,D
841,Un arbore binar este o structură de date în care fiecare nod are cel mult doi descendenți: un subarbore stâng și un subarbore drept.,Ce reprezintă un arbore binar?,O matrice bidimensională,O listă simplu înlănțuită,O structură de date liniară,O structură de date ierarhică în care fiecare nod are maximum doi copii,D
842,"Parcurgerea arborilor binari se poate face în trei moduri clasice: preordine (RLR), inordine (LRR) și postordine (LRR).",Ce înseamnă parcurgerea în preordine a unui arbore binar?,"Vizitarea subarborelui stâng, apoi rădăcina și subarborele drept","Vizitarea subarborelui drept, apoi stâng","Vizitarea nodului rădăcină, apoi subarborele stâng și cel drept",Vizitarea nodurilor în ordine aleatorie,C
843,"Arborii binari de căutare (BST) respectă regula: valorile din subarborele stâng sunt mai mici decât cheia nodului, iar cele din subarborele drept sunt mai mari.",Care este proprietatea fundamentală a arborilor binari de căutare?,Toate cheile sunt egale,Fiecare nod are cel mult trei copii,"Cheile din subarborele stâng sunt mai mici decât cheia nodului, iar cele din dreapta mai mari",Cheile din subarborele stâng sunt mai mari decât cele din dreapta,C
844,Funcția TREE-SEARCH caută un element într-un arbore binar de căutare comparând cheia curentă cu cheia căutată și deplasându-se în stânga sau dreapta.,Ce face funcția TREE-SEARCH într-un BST?,Inserează un element nou,Calculează înălțimea arborelui,Șterge un nod din arbore,Caută un nod după valoarea cheii sale,D
845,"TREE-MINIMUM returnează nodul cu cea mai mică valoare din arbore, parcurgând mereu ramura stângă până la capăt.",Cum se obține minimul dintr-un arbore binar de căutare?,Se parcurge ramura stângă până la capăt,Se folosește o listă auxiliară,Se caută recursiv în ambele subarbori,Se parcurge ramura dreaptă până la capăt,A
846,TREE-MAXIMUM returnează nodul cu cea mai mare valoare dintr-un BST prin deplasarea continuă spre dreapta.,Cum se determină nodul cu valoarea maximă într-un BST?,Prin parcurgerea ramurii drepte până la capăt,Prin inversarea ordinii cheilor,Prin calculul mediei valorilor,Prin parcurgerea ramurii stângi până la capăt,A
847,"Operația TREE-INSERT inserează un nod nou într-un BST, respectând proprietatea de ordine a arborelui.",Ce face funcția TREE-INSERT într-un arbore binar de căutare?,Inserează un nod nou păstrând proprietatea de căutare,Elimină nodul specificat,Calculează înălțimea arborelui,Caută o valoare într-un arbore,A
848,"TREE-DELETE elimină un nod dintr-un arbore binar de căutare, menținând structura corectă a arborelui.",Ce condiție specială trebuie verificată la ștergerea unui nod din BST?,Dacă arborele are înălțimea minimă,Dacă arborele este echilibrat,Dacă are mai mult de doi copii,Dacă nodul este frunză sau are un singur copil,D
849,"Un arbore binar de căutare permite inserări, căutări și ștergeri cu o complexitate medie de O(log n), dar poate ajunge la O(n) în cazuri nefavorabile.",Care este complexitatea medie a operațiilor într-un BST echilibrat?,O(log n),O(n),O(n^2),O(1),A
850,"Arborii AVL sunt arbori binari de căutare echilibrați, unde pentru orice nod diferența de înălțime între subarborii stâng și drept este de cel mult 1.",Ce garantează arborele AVL?,Diferența dintre înălțimile subarborilor este maxim 1,Arborele nu conține noduri duplicate,Factorul de echilibrare este mereu 0,Fiecare nod are cel mult trei copii,A
851,Factorul de echilibrare al unui nod dintr-un arbore AVL este diferența dintre înălțimea subarborelui drept și cea a subarborelui stâng.,Cum se definește factorul de echilibrare într-un arbore AVL?,Diferența dintre înălțimea subarborelui drept și cea a subarborelui stâng,Numărul de copii ai nodului,Suma cheilor din cei doi subarbori,Numărul de frunze din arbore,A
852,"Arborii AVL sunt numiți după G.M. Adelson-Velskii și E.M. Landis, care au introdus această structură în 1962.",Cine a introdus conceptul de arbore AVL?,Donald Knuth,John von Neumann,Edsger Dijkstra,G.M. Adelson-Velskii și E.M. Landis,D
853,Rotirile sunt operații utilizate pentru reechilibrarea arborilor AVL după inserări sau ștergeri.,Care este scopul rotirilor într-un arbore AVL?,De a elimina nodurile redundante,De a inversa ordinea cheilor,De a mări înălțimea arborelui,De a reechilibra arborele după modificări,D
854,"Există patru tipuri de rotații în arborii AVL: rotație simplă stânga, rotație simplă dreapta, rotație dublă stânga și rotație dublă dreapta.",Câte tipuri principale de rotații există într-un arbore AVL?,Două,Patru,Trei,Șase,B
855,O rotație dublă stânga (Double Left Rotation) este utilizată când dezechilibrul este de tip dreapta-stânga.,Când se aplică o rotație dublă stânga într-un arbore AVL?,Când dezechilibrul este de tip dreapta-dreapta,Când dezechilibrul este de tip stânga-stânga,Când arborele este deja echilibrat,Când dezechilibrul este de tip dreapta-stânga,D
856,O rotație simplă dreapta se aplică atunci când nodul critic are un factor de echilibrare de -2 și subarborele stâng are un factor de echilibrare -1 sau 0.,În ce caz se aplică rotația simplă dreapta?,Când arborele este gol,Când subarborele drept este mai înalt cu două niveluri,Când ambii subarbori au aceeași înălțime,Când subarborele stâng este mai înalt cu două niveluri,D
857,Operația de inserare într-un arbore AVL combină inserarea din BST cu apelul funcției de echilibrare balance().,Ce pas suplimentar se realizează după inserarea unui nod într-un arbore AVL?,Se șterg nodurile vechi,Se sortează cheile,Se actualizează factorii de echilibrare și se fac rotații dacă e necesar,Se reconstruiește întreg arborele,C
858,"Factorul de echilibrare poate lua valorile -1, 0 sau +1 într-un arbore AVL echilibrat.",Care sunt valorile posibile ale factorului de echilibrare pentru un nod AVL valid?,Orice număr întreg,"-2, 0, +2","-3, 0, +3","-1, 0, +1",D
859,"Complexitatea inserării, ștergerii și căutării într-un arbore AVL este O(log n) datorită menținerii echilibrului.",Care este complexitatea operațiilor principale într-un arbore AVL?,O(log n),O(n),O(1),O(n^2),A
860,Un arbore AVL este un arbore binar de căutare echilibrat în înălțime.,Cum se descrie cel mai corect un arbore AVL?,Un arbore binar de căutare echilibrat în înălțime,O coadă de priorități,O listă dublu înlănțuită,Un graf neorientat aciclic,A
861,"În arborii AVL, după o ștergere, se actualizează factorii de echilibrare pe calea de întoarcere către rădăcină.",Ce se face după ștergerea unui nod într-un arbore AVL?,Se actualizează factorii de echilibrare și se efectuează rotații dacă e nevoie,Se inserează din nou toate elementele,Se reinitializează arborele,Se ignoră schimbările de echilibru,A
862,Înălțimea unui arbore AVL cu n noduri este proporțională cu log n.,Care este relația dintre numărul de noduri și înălțimea unui arbore AVL?,Înălțimea variază aleatoriu,Înălțimea este proporțională cu log n,Înălțimea este constantă,Înălțimea este proporțională cu n,B
863,Arborii binari de căutare pot fi utilizați în aplicații geometrice precum intersecția dreptunghiurilor sau căutări în intervale 2D.,În ce tip de aplicații sunt folosiți arborii BST?,Compilatoare,Aplicații geometrice și baze de date spațiale,Procesarea de imagini 3D,Rețele neuronale,B
864,"Codificarea Huffman utilizează arbori binari pentru compresia datelor, construind un arbore optim bazat pe frecvențele caracterelor.",Ce rol au arborii binari în codificarea Huffman?,Stochează culorile pixelilor,Generează tabele de hash,Reprezintă ierarhia de priorități pentru caractere,Calculează sume parțiale,C
865,Construirea arborelui Huffman este un proces greedy care asociază coduri mai scurte caracterelor mai frecvente.,Ce strategie se folosește la construirea arborelui Huffman?,Divide et impera,Backtracking,Greedy (lacomă),Programare dinamică,C
866,Un arbore AVL se consideră dezechilibrat dacă pentru un nod factorul de echilibrare devine +2 sau -2.,Ce condiție indică dezechilibrul într-un arbore AVL?,Factor de echilibrare +1,Factor de echilibrare ±2,Arbore gol,Factor de echilibrare 0,B
867,Reechilibrarea unui arbore AVL se face prin rotații locale fără a reconstrui întregul arbore.,Cum se realizează reechilibrarea arborilor AVL?,Prin sortare globală,Prin rotații locale asupra nodurilor dezechilibrate,Prin schimbarea tuturor cheilor,Prin refacerea completă a structurii arborelui,B
868,Procedura balance() analizează factorul de echilibrare și alege rotația potrivită pentru reechilibrare.,Ce determină funcția balance() într-un arbore AVL?,Ce tip de rotație trebuie aplicat,Înălțimea arborelui,Culoarea nodurilor,Numărul de noduri,A
869,Inserarea recursivă într-un arbore binar de căutare verifică poziția corectă a cheii și inserează un nod frunză corespunzător.,Ce face funcția RECURSIVE-TREE-INSERT?,Șterge un nod,Inserează un nod nou în poziția corectă din BST,Calculează factorul de echilibrare,Caută cheia maximă,B
870,Un arbore binar este echilibrat dacă pentru fiecare nod diferența de înălțime între subarbori este cel mult 1.,Ce condiție definește un arbore echilibrat?,Diferența de înălțime între subarbori este ≤ 1 pentru fiecare nod,Subarborii stâng și drept au același număr de noduri,Are același număr de frunze ca de noduri interne,Toate cheile sunt identice,A
871,"Arborii Splay sunt arbori binari de căutare care se autoechilibrează prin rotații la fiecare acces, aducând nodul accesat în rădăcină.",Ce caracterizează arborii Splay?,Sunt arbori binari de căutare care se echilibrează automat după fiecare acces,Sunt arbori care nu permit ștergerea nodurilor,Sunt arbori liniari fără rotații,Sunt structuri bazate pe liste dublu înlănțuite,A
872,Arborii Splay se bazează pe rotații succesive care aduc nodul accesat în vârful arborelui.,Ce se întâmplă cu nodul accesat într-un arbore Splay?,Este mutat la frunză,Este șters automat,Este mutat în rădăcină prin rotații,Este colorat roșu,C
873,"Mecanismul de reechilibrare al arborilor Splay se bazează pe rotații de tip zig, zig-zag și zig-zig.",Care sunt principalele tipuri de rotații utilizate în arborii Splay?,"Zig, zig-zag și zig-zig",Orizontală și verticală,Stânga și dreapta,Sus și jos,A
874,Operația SPLAY aduce nodul curent în rădăcină prin rotații repetate până când părintele devine NIL.,Care este scopul procedurii SPLAY?,Să calculeze factorii de echilibru,Să sorteze cheile din arbore,Să aducă nodul curent în rădăcina arborelui,Să elimine toate frunzele,C
875,Operația MEMBER determină dacă un element se găsește într-un arbore Splay.,Ce face funcția MEMBER într-un arbore Splay?,Șterge nodul indicat,Verifică dacă un element există în arbore,Adaugă o cheie nouă,Unește doi arbori,B
876,"Operația INSERT adaugă o cheie nouă într-un arbore Splay, dacă aceasta nu există deja.",Ce condiție trebuie îndeplinită pentru a insera o cheie într-un arbore Splay?,Arborele să fie gol,Cheia să nu fie deja prezentă în arbore,Toate cheile să fie distincte,"Nicio condiție, se inserează oricând",B
877,Operația DELETE elimină o cheie existentă din arborele Splay.,Ce efect are funcția DELETE într-un arbore Splay?,Inversează ordinea cheilor,Elimină o cheie existentă din arbore,Reechilibrează arborele complet,Afișează valorile arborelui,B
878,"Operația JOIN unește doi arbori Splay, astfel încât toate cheile din primul sunt mai mici decât cele din al doilea.",Ce condiție trebuie îndeplinită pentru operația JOIN între doi arbori Splay?,Primul arbore este gol,Ambii arbori au aceeași înălțime,Toate cheile din primul arbore sunt mai mici decât cele din al doilea,Cei doi arbori conțin aceleași chei,C
879,"Operația SPLIT împarte un arbore Splay în doi arbori, astfel încât unii conțin chei mai mici, iar ceilalți mai mari decât o valoare dată.",Ce face operația SPLIT într-un arbore Splay?,Împarte arborele în doi pe baza unei chei date,Șterge toate frunzele,Combină doi arbori într-unul singur,Schimbă ordinea rotațiilor,A
880,Arborii Red-Black sunt arbori binari de căutare echilibrați care respectă reguli stricte de culoare pentru menținerea echilibrului.,Ce tip de structură este un arbore Red-Black?,Un heap binar complet,O matrice de chei,O listă dublu înlănțuită,Un arbore binar de căutare echilibrat prin reguli de culoare,D
881,"Regula 1 a arborilor Red-Black specifică faptul că fiecare nod este colorat fie roșu, fie negru.",Ce prevede prima regulă a arborilor Red-Black?,Toate nodurile interne sunt roșii,Rădăcina trebuie să fie roșie,Toate frunzele sunt negre,"Fiecare nod este colorat fie roșu, fie negru",D
882,A doua regulă a arborilor Red-Black impune ca rădăcina să fie întotdeauna neagră.,Ce culoare trebuie să aibă rădăcina unui arbore Red-Black?,Orice culoare,Alternantă,Roșie,Neagră,D
883,Regula 3 a arborilor Red-Black spune că nu pot exista două noduri roșii consecutive pe aceeași cale.,Ce interzice regula 3 a arborilor Red-Black?,Rădăcini roșii și frunze negre,Două noduri roșii consecutive,Două noduri negre consecutive,Mai mult de doi copii pe nod,B
884,Regula 4 a arborilor Red-Black impune ca toate drumurile de la un nod la frunze să aibă același număr de noduri negre.,Ce garantează regula 4 a arborilor Red-Black?,Toate frunzele sunt roșii,Echilibrul negru perfect pe toate căile,Doar frunzele sunt considerate noduri negre,Căile pot avea lungimi variabile,B
885,"În arborii Red-Black, înălțimea este cel mult 2 * log2(n), ceea ce garantează complexitate logaritmică.",Care este înălțimea maximă a unui arbore Red-Black cu n noduri?,2 * log2(n),n,log2(n),n/2,A
886,"Inserarea într-un arbore Red-Black începe ca într-un arbore binar de căutare, urmată de recolorări și rotații pentru respectarea regulilor.",Ce pași urmează inserarea într-un arbore Red-Black?,Ștergerea tuturor frunzelor,Conversie în arbore AVL,Inserare normală urmată de recolorări și rotații,Inserare doar în frunze negre,C
887,"Dacă părintele nodului inserat este negru, inserarea într-un arbore Red-Black este completă fără modificări suplimentare.",Ce se întâmplă dacă părintele nodului inserat este negru?,Se colorează roșu,Se șterge nodul,Se dublează înălțimea arborelui,Nu se efectuează nicio rotație sau recolorare,D
888,"Într-un arbore Red-Black, dacă un nod roșu are părinte roșu, regulile sunt încălcate și se fac rotații și recolorări.",Ce se întâmplă când un nod roșu are părinte roșu?,Se șterge automat nodul inserat,Se resetează arborele,Se colorează toate nodurile negre,Se aplică rotații și recolorări pentru a restabili regulile,D
889,O rotație simplă la stânga într-un arbore Red-Black mută nodul copil drept în poziția părintelui.,Ce efect are rotația simplă la stânga într-un arbore Red-Black?,Se șterge un nod,Se dublează înălțimea arborelui,Copilul stâng devine frunză,Copilul drept devine noul părinte al nodului rotit,D
890,Rotațiile din arborii Red-Black sunt folosite pentru a restabili echilibrul atunci când regulile de culoare sunt încălcate.,Care este scopul rotațiilor într-un arbore Red-Black?,Reechilibrarea arborelui după inserare sau ștergere,Conversia în heap,Sortarea cheilor,Ștergerea frunzelor negre,A
891,"Arborii Red-Black garantează complexitate O(log n) pentru inserare, căutare și ștergere.",Care este complexitatea operațiilor într-un arbore Red-Black?,O(log n),O(n),O(1),O(n^2),A
892,MinHeap este o structură de date bazată pe un vector care respectă proprietatea de heap minim.,Ce este un MinHeap?,Un arbore de căutare binar dezechilibrat,O listă simplu înlănțuită,Un graf orientat,Un arbore binar complet unde părintele are valoarea mai mică decât fiii săi,D
893,"Într-un MinHeap, poziția părintelui pentru elementul i este i/2.",Care este poziția părintelui pentru elementul i într-un MinHeap?,2*i,i/2,2*i+1,i-1,B
894,"Pentru un MinHeap stocat într-un tablou, copilul stâng al unui element aflat pe poziția i se află la poziția 2*i.",Unde se află copilul stâng pentru elementul i într-un MinHeap?,2*i+1,2*i,i+1,i/2,B
895,Heapify asigură păstrarea proprietății de heap după modificarea unui element.,Care este scopul funcției Heapify?,Sortează vectorul complet,Inversă pozițiile elementelor,Elimină elementele maxime,Menține proprietatea de heap minim după modificări,D
896,Procedura Build-Heap construiește o movilă dintr-un tablou neordonat de numere întregi.,Ce face funcția Build-Heap?,Șterge toate elementele din heap,Construiește un heap dintr-un tablou neordonat,Inversează ordinea elementelor,Aplică sortarea prin inserare,B
897,Operația ExtractMin extrage cel mai mic element dintr-un MinHeap.,Ce face ExtractMin într-un MinHeap?,Elimină elementul maxim,Adaugă un nou element,Reinitializează heapul,Returnează și elimină elementul minim,D
898,"Algoritmul Heapsort sortează un tablou folosind principiul heapurilor, extrăgând repetat minimul.",Pe ce principiu se bazează Heapsort?,Folosește căutare binară,Aplică recursiv sortare prin selecție,Transformă vectorul într-un heap și extrage succesiv minimul,Compară doar elementele vecine,C
899,MinHeap garantează acces rapid la elementul minim în timp O(1).,Care este complexitatea accesării elementului minim într-un MinHeap?,O(n),O(log n),O(n log n),O(1),D
900,Complexitatea construirii unui heap din n elemente este O(n).,Care este complexitatea construirii unui heap din n elemente?,O(n),O(1),O(n log n),O(log n),A
901,"Arborii 2-3 sunt o generalizare a arborilor binari de căutare echilibrați, în care un nod poate conține până la două chei și trei copii.",Ce caracterizează arborii 2-3?,Fiecare nod are o singură cheie,Fiecare nod are un singur copil,Fiecare nod poate avea maximum două chei și trei copii,Toate cheile sunt egale,C
902,Arborii 2-3 au fost introduși de J. E. Hopcroft în anul 1970 ca o îmbunătățire a arborilor binari de căutare echilibrați.,Cine a introdus arborii 2-3?,Niklaus Wirth,Robert Tarjan,J. E. Hopcroft,Donald Knuth,C
903,"Într-un arbore 2-3, cheile dintr-un nod sunt ordonate crescător de la stânga la dreapta.",Cum sunt ordonate cheile într-un nod de arbore 2-3?,Descrescător,Aleator,Crescător de la stânga la dreapta,După adâncime,C
904,"Un arbore 2-3 este întotdeauna perfect echilibrat, adică toate frunzele se află la același nivel.",Ce proprietate are un arbore 2-3 privind echilibrul?,Poate fi dezechilibrat,Are înălțime variabilă pe ramuri,Se echilibrează doar la inserare,Este întotdeauna perfect echilibrat,D
905,"Dacă un nod dintr-un arbore 2-3 are două chei, atunci va avea trei copii.",Câți copii are un nod cu două chei într-un arbore 2-3?,4,3,1,2,B
906,"Operațiile principale într-un arbore 2-3 sunt: căutare, inserare și ștergere.",Care sunt operațiile principale într-un arbore 2-3?,Sortare și filtrare,Copiere și concatenare,"Căutare, inserare și ștergere",Comparare și numărare,C
907,Inserarea într-un arbore 2-3 se realizează numai în nodurile frunză.,Unde se efectuează inserarea într-un arbore 2-3?,În nodurile interne,În orice nod,În nodurile frunză,Doar în rădăcină,C
908,"Când un nod frunză este plin în timpul inserării, acesta este împărțit în două noduri, iar cheia mediană urcă.",Ce se întâmplă când un nod frunză devine plin într-un arbore 2-3?,Se împarte nodul și cheia mediană urcă,Se creează o nouă rădăcină,Se șterge nodul,Se inserează oricum noua cheie,A
909,Ștergerea dintr-un arbore 2-3 se reduce la ștergerea unei chei dintr-o frunză.,Unde se efectuează efectiv ștergerea unei chei într-un arbore 2-3?,În nodul părinte,În orice nod intern,Într-o frunză,În rădăcină,C
910,"Într-un arbore 2-3, dacă o frunză are un singur element și trebuie ștearsă, se împrumută o cheie de la un frate sau se face o fuziune.",Ce se întâmplă când o frunză cu o singură cheie este ștearsă într-un arbore 2-3?,Se împrumută o cheie de la un frate sau se fuzionează nodurile,Se adaugă o cheie artificială,Se șterge arborele complet,Se reface întreaga structură,A
911,"Arborii B generalizează arborii 2-3, permițând mai mult de două chei per nod.",Ce generalizează arborii B față de arborii 2-3?,Au doar două niveluri,Sunt neechilibrați,Permit mai multe chei într-un nod,Folosesc doar chei binare,C
912,Un arbore B de ordin m are cel mult m copii pentru fiecare nod.,Care este numărul maxim de copii pentru un nod dintr-un arbore B de ordin m?,m-1,2m,m/2,m,D
913,"Într-un arbore B, toate frunzele se află la același nivel.",Ce proprietate au frunzele într-un arbore B?,Se pot repeta,Sunt toate pe același nivel,Se pot afla deasupra rădăcinii,Au adâncimi diferite,B
914,Rădăcina unui arbore B are cel puțin doi copii dacă nu este nod frunză.,Câți copii trebuie să aibă rădăcina unui arbore B dacă nu este frunză?,Cel puțin doi,Niciunul,Exact m copii,Exact unul,A
915,"Într-un arbore B, un nod intern cu k copii conține k-1 chei ordonate crescător.",Câte chei conține un nod intern cu k copii într-un arbore B?,k-1,k,m,k+1,A
916,Procedura B-TREE-SEARCH caută o cheie într-un arbore B parcurgând nodurile și descendenții corespunzători.,Ce face algoritmul B-TREE-SEARCH?,Inserează o cheie nouă,Sortează cheile din arbore,Caută o cheie într-un arbore B,Șterge un nod,C
917,"Dacă o pagină dintr-un arbore B este plină la inserare, se împarte în două pagini și cheia mediană urcă în părinte.",Ce se întâmplă când o pagină plină primește o nouă cheie într-un arbore B?,Se ignoră cheia,Se adaugă cheia la sfârșit,Se șterge pagina,Se împarte pagina și cheia mediană urcă,D
918,Operația de inserare într-un arbore B poate determina crearea unei noi rădăcini.,Ce se întâmplă dacă rădăcina devine plină într-un arbore B?,Se șterge arborele,Se inversează toate cheile,Se mută rădăcina la frunză,Se creează o nouă rădăcină,D
